date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:15	5260/5260	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2020/12/Automotive-Logistics-Menu-199x93.jpg	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2020/12/Automotive-Logistics-Menu-199x93.jpg	(from https://expresscourierlimited.com/)
21:30:15	116387/116387	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:36%20GMT	https://expresscourierlimited.com/company-updates/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/company-updates/index.html	(from https://expresscourierlimited.com/)
21:30:16	85943/85943	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2020/02/Omni-Emloyee-working-customer-service-4k-1920x1080-1.jpg	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2020/02/Omni-Emloyee-working-customer-service-4k-1920x1080-1.jpg	(from https://expresscourierlimited.com/)
21:30:16	1997/1997	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/themes/omnilogistics/images/mouse-icon.svg	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/themes/omnilogistics/images/mouse-icon.svg	(from https://expresscourierlimited.com/)
21:30:17	926/926	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/themes/omnilogistics/images/arrow-bottom.svg	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/themes/omnilogistics/images/arrow-bottom.svg	(from https://expresscourierlimited.com/)
21:30:17	57657/57657	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2019/05/people-scroll-1.png	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2019/05/people-scroll-1.png	(from https://expresscourierlimited.com/)
21:30:18	79921/79921	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2019/05/woman_hands.png	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2019/05/woman_hands.png	(from https://expresscourierlimited.com/)
21:30:18	58086/58086	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2019/05/people-scroll-3.png	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2019/05/people-scroll-3.png	(from https://expresscourierlimited.com/)
21:30:18	102738/102738	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2019/05/people-scroll-4.png	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2019/05/people-scroll-4.png	(from https://expresscourierlimited.com/)
21:30:18	61394/61394	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2019/05/people-scroll-5.png	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2019/05/people-scroll-5.png	(from https://expresscourierlimited.com/)
